epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,719.611,1.27226,1.42407,1.3601,0.59628,0.48478,0.48168,0.19159,2.05262,1.91747,1.94062,0.000665211,0.000665211,0.000665211
2,1433.31,1.04038,0.91323,1.19508,0.61551,0.52723,0.57851,0.28527,1.7645,1.49595,1.64602,0.00126595,0.00126595,0.00126595
3,2134.86,0.96713,0.81254,1.15396,0.72871,0.57609,0.64662,0.3298,1.75622,1.27907,1.63406,0.00180069,0.00180069,0.00180069
4,2817.25,0.89711,0.71727,1.12146,0.75799,0.59577,0.68029,0.34314,1.77488,1.24506,1.60776,0.001703,0.001703,0.001703
5,3497.11,0.82693,0.65374,1.08361,0.793,0.63043,0.73827,0.39783,1.60108,1.0966,1.48751,0.001604,0.001604,0.001604
6,4163.14,0.7696,0.59792,1.05896,0.76373,0.6746,0.74937,0.41847,1.567,1.02434,1.42329,0.001505,0.001505,0.001505
7,4942.2,0.73996,0.57725,1.04261,0.84146,0.65193,0.76483,0.44087,1.50689,0.9817,1.41137,0.001406,0.001406,0.001406
8,5779.57,0.70803,0.54363,1.03335,0.79886,0.7087,0.78907,0.4639,1.51263,0.96961,1.39398,0.001307,0.001307,0.001307
9,7051.45,0.67392,0.51222,1.01611,0.81463,0.70694,0.80605,0.48578,1.44593,0.91296,1.35649,0.001208,0.001208,0.001208
10,7776.77,0.6407,0.48465,1.00059,0.82701,0.72065,0.82994,0.4855,1.48401,0.88222,1.33142,0.001109,0.001109,0.001109
11,8505.04,1.30477,0.96859,1.32082,0.82905,0.76848,0.84896,0.54125,1.24851,0.84811,1.18998,0.00101,0.00101,0.00101
12,9221.79,1.21107,0.8273,1.24797,0.85843,0.77609,0.87564,0.61762,1.07612,0.68695,1.10748,0.000911,0.000911,0.000911
13,9937.48,1.17054,0.76631,1.22126,0.87006,0.80786,0.89646,0.60786,1.08957,0.66268,1.11949,0.000812,0.000812,0.000812
14,10630.8,1.12185,0.71171,1.19096,0.87105,0.84565,0.90253,0.62263,1.04023,0.61158,1.07296,0.000713,0.000713,0.000713
15,11306.8,1.0934,0.67003,1.17012,0.86975,0.8337,0.90008,0.64149,0.92802,0.62879,1.02963,0.000614,0.000614,0.000614
16,12001,1.07772,0.6492,1.15767,0.91238,0.82935,0.92425,0.6671,0.96481,0.56869,1.03586,0.000515,0.000515,0.000515
17,12689.2,1.02501,0.60789,1.12863,0.91199,0.85606,0.93273,0.68352,0.92333,0.5541,1.0183,0.000416,0.000416,0.000416
18,13378.5,1.00276,0.57526,1.11052,0.88674,0.89022,0.93509,0.6808,0.95623,0.55705,1.01719,0.000317,0.000317,0.000317
19,14084.6,0.99677,0.554,1.10241,0.90851,0.88512,0.9421,0.68401,0.94192,0.52468,1.00698,0.000218,0.000218,0.000218
20,14792.3,0.96571,0.54446,1.08725,0.89985,0.89849,0.94374,0.70456,0.86122,0.51107,0.97747,0.000119,0.000119,0.000119
