epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1891.57,1.63922,2.10179,1.69959,0.41389,0.41957,0.38305,0.18045,1.79488,2.42738,2.01555,0.000663755,0.000663755,0.000663755
2,3626.19,1.53231,1.57928,1.60103,0.75096,0.59348,0.6874,0.34594,1.74002,1.53054,1.74972,0.00130408,0.00130408,0.00130408
3,5863.82,1.51686,1.44137,1.5845,0.76056,0.68363,0.76672,0.44154,1.48497,1.25009,1.55166,0.001918,0.001918,0.001918
4,8820.77,1.47929,1.34254,1.55319,0.81099,0.675,0.76861,0.43942,1.48692,1.29945,1.52825,0.0018812,0.0018812,0.0018812
5,11016.4,1.4411,1.26332,1.50968,0.80317,0.70079,0.78408,0.42964,1.62381,1.19266,1.5948,0.0018416,0.0018416,0.0018416
6,12755.2,1.39592,1.17796,1.47364,0.85797,0.775,0.86623,0.43963,1.71319,1.05328,1.59334,0.001802,0.001802,0.001802
7,14473.5,1.35725,1.11693,1.45772,0.83621,0.71588,0.82156,0.4754,1.5088,1.01458,1.48479,0.0017624,0.0017624,0.0017624
8,16324.8,1.3456,1.08526,1.45448,0.82213,0.80543,0.86404,0.52156,1.41809,0.97076,1.43222,0.0017228,0.0017228,0.0017228
9,19172.1,1.33194,1.05348,1.436,0.86992,0.82391,0.87857,0.4988,1.52024,0.96722,1.46404,0.0016832,0.0016832,0.0016832
10,21225.6,1.29619,1.01031,1.40658,0.85952,0.83261,0.90061,0.53201,1.49217,0.81837,1.4615,0.0016436,0.0016436,0.0016436
11,22945.4,1.27357,0.97355,1.39745,0.88016,0.85652,0.92738,0.47582,1.72176,0.86088,1.6092,0.001604,0.001604,0.001604
12,24677.8,1.25513,0.93403,1.38126,0.89502,0.87935,0.92747,0.5541,1.467,0.80328,1.42625,0.0015644,0.0015644,0.0015644
13,26385.6,1.24188,0.9218,1.3715,0.92082,0.88043,0.94071,0.55774,1.44442,0.72636,1.3866,0.0015248,0.0015248,0.0015248
14,28082.9,1.2201,0.88946,1.3572,0.91751,0.84457,0.93081,0.53873,1.48637,0.764,1.42934,0.0014852,0.0014852,0.0014852
15,29781.3,1.1912,0.87478,1.34338,0.91663,0.86048,0.92484,0.63668,1.13191,0.69316,1.2357,0.0014456,0.0014456,0.0014456
